system:time_start,total_precipitation
"Jan 1, 2010",0
"Jan 2, 2010",0
"Jan 3, 2010",0
"Jan 4, 2010",0
"Jan 5, 2010",0
"Jan 6, 2010",0
"Jan 7, 2010",0
"Jan 8, 2010",0
"Jan 9, 2010",0
"Jan 10, 2010",0
"Jan 11, 2010",0
"Jan 12, 2010",0
"Jan 13, 2010",0
"Jan 14, 2010",0
"Jan 15, 2010",0
"Jan 16, 2010",0
"Jan 17, 2010",0
"Jan 18, 2010",0
"Jan 19, 2010",0
"Jan 20, 2010",0
"Jan 21, 2010",0
"Jan 22, 2010",0
"Jan 23, 2010",0
"Jan 24, 2010",0
"Jan 25, 2010",0
"Jan 26, 2010",0
"Jan 27, 2010",0
"Jan 28, 2010",0
"Jan 29, 2010",0
"Jan 30, 2010",0
"Jan 31, 2010",0
"Feb 1, 2010",0
"Feb 2, 2010",0
"Feb 3, 2010",0
"Feb 4, 2010",0
"Feb 5, 2010",0
"Feb 6, 2010",0
"Feb 7, 2010",0
"Feb 8, 2010",0
"Feb 9, 2010",0
"Feb 10, 2010",0
"Feb 11, 2010",0
"Feb 12, 2010",0
"Feb 13, 2010",0
"Feb 14, 2010",0
"Feb 15, 2010",0
"Feb 16, 2010",0
"Feb 17, 2010",0
"Feb 18, 2010",0
"Feb 19, 2010",0
"Feb 20, 2010",0
"Feb 21, 2010",0
"Feb 22, 2010",0.001
"Feb 23, 2010",0
"Feb 24, 2010",0
"Feb 25, 2010",0
"Feb 26, 2010",0
"Feb 27, 2010",0
"Feb 28, 2010",0
"Mar 1, 2010",0
"Mar 2, 2010",0
"Mar 3, 2010",0
"Mar 4, 2010",0
"Mar 5, 2010",0
"Mar 6, 2010",0
"Mar 7, 2010",0
"Mar 8, 2010",0
"Mar 9, 2010",0
"Mar 10, 2010",0.001
"Mar 11, 2010",0
"Mar 12, 2010",0.001
"Mar 13, 2010",0
"Mar 14, 2010",0
"Mar 15, 2010",0
"Mar 16, 2010",0
"Mar 17, 2010",0
"Mar 18, 2010",0
"Mar 19, 2010",0
"Mar 20, 2010",0
"Mar 21, 2010",0
"Mar 22, 2010",0
"Mar 23, 2010",0
"Mar 24, 2010",0
"Mar 25, 2010",0
"Mar 26, 2010",0
"Mar 27, 2010",0
"Mar 28, 2010",0
"Mar 29, 2010",0
"Mar 30, 2010",0
"Mar 31, 2010",0
"Apr 1, 2010",0
"Apr 2, 2010",0
"Apr 3, 2010",0
"Apr 4, 2010",0
"Apr 5, 2010",0
"Apr 6, 2010",0
"Apr 7, 2010",0
"Apr 8, 2010",0
"Apr 9, 2010",0.001
"Apr 10, 2010",0
"Apr 11, 2010",0
"Apr 12, 2010",0
"Apr 13, 2010",0
"Apr 14, 2010",0
"Apr 15, 2010",0
"Apr 16, 2010",0.001
"Apr 17, 2010",0.002
"Apr 18, 2010",0
"Apr 19, 2010",0
"Apr 20, 2010",0
"Apr 21, 2010",0
"Apr 22, 2010",0
"Apr 23, 2010",0.001
"Apr 24, 2010",0
"Apr 25, 2010",0
"Apr 26, 2010",0
"Apr 27, 2010",0
"Apr 28, 2010",0
"Apr 29, 2010",0.001
"Apr 30, 2010",0.002
"May 1, 2010",0.002
"May 2, 2010",0.002
"May 3, 2010",0.003
"May 4, 2010",0
"May 5, 2010",0
"May 6, 2010",0
"May 7, 2010",0
"May 8, 2010",0.001
"May 9, 2010",0
"May 10, 2010",0
"May 11, 2010",0
"May 12, 2010",0
"May 13, 2010",0
"May 14, 2010",0
"May 15, 2010",0
"May 16, 2010",0
"May 17, 2010",0
"May 18, 2010",0
"May 19, 2010",0
"May 20, 2010",0
"May 21, 2010",0.001
"May 22, 2010",0
"May 23, 2010",0.001
"May 24, 2010",0
"May 25, 2010",0
"May 26, 2010",0
"May 27, 2010",0
"May 28, 2010",0
"May 29, 2010",0
"May 30, 2010",0
"May 31, 2010",0.001
"Jun 1, 2010",0.001
"Jun 2, 2010",0.002
"Jun 3, 2010",0
"Jun 4, 2010",0
"Jun 5, 2010",0.001
"Jun 6, 2010",0.002
"Jun 7, 2010",0.002
"Jun 8, 2010",0.001
"Jun 9, 2010",0.006
"Jun 10, 2010",0.014
"Jun 11, 2010",0.022
"Jun 12, 2010",0.014
"Jun 13, 2010",0.017
"Jun 14, 2010",0.011
"Jun 15, 2010",0.036
"Jun 16, 2010",0.066
"Jun 17, 2010",0.013
"Jun 18, 2010",0.018
"Jun 19, 2010",0.007
"Jun 20, 2010",0.007
"Jun 21, 2010",0.003
"Jun 22, 2010",0.002
"Jun 23, 2010",0.009
"Jun 24, 2010",0.005
"Jun 25, 2010",0.02
"Jun 26, 2010",0.006
"Jun 27, 2010",0.003
"Jun 28, 2010",0.001
"Jun 29, 2010",0.001
"Jun 30, 2010",0.004
"Jul 1, 2010",0.019
"Jul 2, 2010",0.02
"Jul 3, 2010",0.024
"Jul 4, 2010",0.004
"Jul 5, 2010",0.005
"Jul 6, 2010",0.008
"Jul 7, 2010",0.009
"Jul 8, 2010",0.004
"Jul 9, 2010",0.002
"Jul 10, 2010",0.005
"Jul 11, 2010",0.005
"Jul 12, 2010",0.002
"Jul 13, 2010",0.003
"Jul 14, 2010",0.002
"Jul 15, 2010",0.002
"Jul 16, 2010",0.005
"Jul 17, 2010",0.01
"Jul 18, 2010",0.012
"Jul 19, 2010",0.017
"Jul 20, 2010",0.032
"Jul 21, 2010",0.016
"Jul 22, 2010",0.026
"Jul 23, 2010",0.012
"Jul 24, 2010",0.025
"Jul 25, 2010",0.026
"Jul 26, 2010",0.027
"Jul 27, 2010",0.012
"Jul 28, 2010",0.006
"Jul 29, 2010",0.007
"Jul 30, 2010",0.01
"Jul 31, 2010",0.014
"Aug 1, 2010",0.011
"Aug 2, 2010",0.012
"Aug 3, 2010",0.012
"Aug 4, 2010",0.003
"Aug 5, 2010",0.002
"Aug 6, 2010",0.012
"Aug 7, 2010",0.012
"Aug 8, 2010",0.005
"Aug 9, 2010",0.003
"Aug 10, 2010",0.002
"Aug 11, 2010",0.002
"Aug 12, 2010",0.005
"Aug 13, 2010",0.009
"Aug 14, 2010",0.002
"Aug 15, 2010",0.003
"Aug 16, 2010",0.005
"Aug 17, 2010",0.03
"Aug 18, 2010",0.014
"Aug 19, 2010",0.001
"Aug 20, 2010",0.004
"Aug 21, 2010",0.005
"Aug 22, 2010",0.004
"Aug 23, 2010",0.003
"Aug 24, 2010",0.001
"Aug 25, 2010",0.005
"Aug 26, 2010",0.007
"Aug 27, 2010",0.014
"Aug 28, 2010",0.026
"Aug 29, 2010",0.026
"Aug 30, 2010",0.021
"Aug 31, 2010",0.029
"Sep 1, 2010",0.005
"Sep 2, 2010",0.003
"Sep 3, 2010",0.003
"Sep 4, 2010",0.009
"Sep 5, 2010",0.013
"Sep 6, 2010",0.007
"Sep 7, 2010",0.005
"Sep 8, 2010",0.024
"Sep 9, 2010",0.007
"Sep 10, 2010",0.002
"Sep 11, 2010",0.002
"Sep 12, 2010",0.001
"Sep 13, 2010",0.002
"Sep 14, 2010",0.003
"Sep 15, 2010",0.001
"Sep 16, 2010",0.006
"Sep 17, 2010",0.002
"Sep 18, 2010",0.004
"Sep 19, 2010",0.004
"Sep 20, 2010",0.007
"Sep 21, 2010",0.001
"Sep 22, 2010",0.002
"Sep 23, 2010",0.007
"Sep 24, 2010",0.009
"Sep 25, 2010",0.004
"Sep 26, 2010",0.009
"Sep 27, 2010",0.003
"Sep 28, 2010",0.005
"Sep 29, 2010",0.005
"Sep 30, 2010",0.002
"Oct 1, 2010",0
"Oct 2, 2010",0
"Oct 3, 2010",0.011
"Oct 4, 2010",0.009
"Oct 5, 2010",0.012
"Oct 6, 2010",0
"Oct 7, 2010",0
"Oct 8, 2010",0
"Oct 9, 2010",0
"Oct 10, 2010",0.001
"Oct 11, 2010",0.001
"Oct 12, 2010",0.001
"Oct 13, 2010",0.001
"Oct 14, 2010",0.002
"Oct 15, 2010",0.001
"Oct 16, 2010",0.003
"Oct 17, 2010",0.014
"Oct 18, 2010",0.013
"Oct 19, 2010",0.01
"Oct 20, 2010",0.007
"Oct 21, 2010",0.008
"Oct 22, 2010",0.004
"Oct 23, 2010",0.002
"Oct 24, 2010",0.003
"Oct 25, 2010",0.001
"Oct 26, 2010",0.001
"Oct 27, 2010",0
"Oct 28, 2010",0
"Oct 29, 2010",0
"Oct 30, 2010",0
"Oct 31, 2010",0
"Nov 1, 2010",0
"Nov 2, 2010",0
"Nov 3, 2010",0.002
"Nov 4, 2010",0.008
"Nov 5, 2010",0.007
"Nov 6, 2010",0.011
"Nov 7, 2010",0
"Nov 8, 2010",0.005
"Nov 9, 2010",0.005
"Nov 10, 2010",0.006
"Nov 11, 2010",0.004
"Nov 12, 2010",0.001
"Nov 13, 2010",0.004
"Nov 14, 2010",0.004
"Nov 15, 2010",0.006
"Nov 16, 2010",0.001
"Nov 17, 2010",0
"Nov 18, 2010",0.002
"Nov 19, 2010",0.002
"Nov 20, 2010",0.001
"Nov 21, 2010",0.006
"Nov 22, 2010",0
"Nov 23, 2010",0.002
"Nov 24, 2010",0
"Nov 25, 2010",0
"Nov 26, 2010",0
"Nov 27, 2010",0.001
"Nov 28, 2010",0
"Nov 29, 2010",0
"Nov 30, 2010",0
"Dec 1, 2010",0
"Dec 2, 2010",0
"Dec 3, 2010",0
"Dec 4, 2010",0.001
"Dec 5, 2010",0
"Dec 6, 2010",0
"Dec 7, 2010",0
"Dec 8, 2010",0
"Dec 9, 2010",0.001
"Dec 10, 2010",0
"Dec 11, 2010",0
"Dec 12, 2010",0
"Dec 13, 2010",0
"Dec 14, 2010",0
"Dec 15, 2010",0
"Dec 16, 2010",0
"Dec 17, 2010",0
"Dec 18, 2010",0
"Dec 19, 2010",0
"Dec 20, 2010",0
"Dec 21, 2010",0
"Dec 22, 2010",0
"Dec 23, 2010",0
"Dec 24, 2010",0
"Dec 25, 2010",0
"Dec 26, 2010",0
"Dec 27, 2010",0
"Dec 28, 2010",0
"Dec 29, 2010",0
"Dec 30, 2010",0
"Dec 31, 2010",0
"Jan 1, 2011",0
"Jan 2, 2011",0
"Jan 3, 2011",0
"Jan 4, 2011",0
"Jan 5, 2011",0
"Jan 6, 2011",0
"Jan 7, 2011",0
"Jan 8, 2011",0
"Jan 9, 2011",0
"Jan 10, 2011",0
"Jan 11, 2011",0
"Jan 12, 2011",0
"Jan 13, 2011",0
"Jan 14, 2011",0
"Jan 15, 2011",0
"Jan 16, 2011",0
"Jan 17, 2011",0
"Jan 18, 2011",0
"Jan 19, 2011",0
"Jan 20, 2011",0
"Jan 21, 2011",0
"Jan 22, 2011",0
"Jan 23, 2011",0
"Jan 24, 2011",0
"Jan 25, 2011",0
"Jan 26, 2011",0
"Jan 27, 2011",0
"Jan 28, 2011",0
"Jan 29, 2011",0
"Jan 30, 2011",0
"Jan 31, 2011",0
"Feb 1, 2011",0
"Feb 2, 2011",0
"Feb 3, 2011",0
"Feb 4, 2011",0
"Feb 5, 2011",0
"Feb 6, 2011",0
"Feb 7, 2011",0
"Feb 8, 2011",0
"Feb 9, 2011",0
"Feb 10, 2011",0
"Feb 11, 2011",0
"Feb 12, 2011",0
"Feb 13, 2011",0
"Feb 14, 2011",0
"Feb 15, 2011",0
"Feb 16, 2011",0
"Feb 17, 2011",0
"Feb 18, 2011",0
"Feb 19, 2011",0
"Feb 20, 2011",0
"Feb 21, 2011",0
"Feb 22, 2011",0
"Feb 23, 2011",0
"Feb 24, 2011",0
"Feb 25, 2011",0
"Feb 26, 2011",0
"Feb 27, 2011",0
"Feb 28, 2011",0.002
"Mar 1, 2011",0
"Mar 2, 2011",0
"Mar 3, 2011",0
"Mar 4, 2011",0
"Mar 5, 2011",0
"Mar 6, 2011",0
"Mar 7, 2011",0
"Mar 8, 2011",0
"Mar 9, 2011",0
"Mar 10, 2011",0
"Mar 11, 2011",0
"Mar 12, 2011",0
"Mar 13, 2011",0
"Mar 14, 2011",0
"Mar 15, 2011",0
"Mar 16, 2011",0
"Mar 17, 2011",0
"Mar 18, 2011",0
"Mar 19, 2011",0
"Mar 20, 2011",0
"Mar 21, 2011",0
"Mar 22, 2011",0
"Mar 23, 2011",0
"Mar 24, 2011",0
"Mar 25, 2011",0
"Mar 26, 2011",0
"Mar 27, 2011",0
"Mar 28, 2011",0
"Mar 29, 2011",0
"Mar 30, 2011",0
"Mar 31, 2011",0
"Apr 1, 2011",0
"Apr 2, 2011",0
"Apr 3, 2011",0
"Apr 4, 2011",0
"Apr 5, 2011",0
"Apr 6, 2011",0
"Apr 7, 2011",0
"Apr 8, 2011",0
"Apr 9, 2011",0
"Apr 10, 2011",0
"Apr 11, 2011",0.001
"Apr 12, 2011",0.001
"Apr 13, 2011",0.001
"Apr 14, 2011",0
"Apr 15, 2011",0
"Apr 16, 2011",0
"Apr 17, 2011",0
"Apr 18, 2011",0
"Apr 19, 2011",0
"Apr 20, 2011",0
"Apr 21, 2011",0
"Apr 22, 2011",0
"Apr 23, 2011",0
"Apr 24, 2011",0
"Apr 25, 2011",0
"Apr 26, 2011",0
"Apr 27, 2011",0
"Apr 28, 2011",0.001
"Apr 29, 2011",0.001
"Apr 30, 2011",0
"May 1, 2011",0
"May 2, 2011",0
"May 3, 2011",0
"May 4, 2011",0
"May 5, 2011",0
"May 6, 2011",0
"May 7, 2011",0
"May 8, 2011",0
"May 9, 2011",0
"May 10, 2011",0
"May 11, 2011",0
"May 12, 2011",0
"May 13, 2011",0
"May 14, 2011",0
"May 15, 2011",0
"May 16, 2011",0
"May 17, 2011",0.002
"May 18, 2011",0
"May 19, 2011",0
"May 20, 2011",0
"May 21, 2011",0
"May 22, 2011",0.001
"May 23, 2011",0.001
"May 24, 2011",0
"May 25, 2011",0
"May 26, 2011",0.001
"May 27, 2011",0.001
"May 28, 2011",0
"May 29, 2011",0
"May 30, 2011",0
"May 31, 2011",0
"Jun 1, 2011",0.002
"Jun 2, 2011",0.007
"Jun 3, 2011",0.023
"Jun 4, 2011",0.012
"Jun 5, 2011",0.011
"Jun 6, 2011",0.001
"Jun 7, 2011",0
"Jun 8, 2011",0.003
"Jun 9, 2011",0.065
"Jun 10, 2011",0.036
"Jun 11, 2011",0.01
"Jun 12, 2011",0.002
"Jun 13, 2011",0.004
"Jun 14, 2011",0.005
"Jun 15, 2011",0.005
"Jun 16, 2011",0.008
"Jun 17, 2011",0.004
"Jun 18, 2011",0.003
"Jun 19, 2011",0.004
"Jun 20, 2011",0.004
"Jun 21, 2011",0.003
"Jun 22, 2011",0.004
"Jun 23, 2011",0.003
"Jun 24, 2011",0.005
"Jun 25, 2011",0.004
"Jun 26, 2011",0.006
"Jun 27, 2011",0.006
"Jun 28, 2011",0.005
"Jun 29, 2011",0.003
"Jun 30, 2011",0.002
"Jul 1, 2011",0.002
"Jul 2, 2011",0.003
"Jul 3, 2011",0.002
"Jul 4, 2011",0.002
"Jul 5, 2011",0.003
"Jul 6, 2011",0.008
"Jul 7, 2011",0.019
"Jul 8, 2011",0.015
"Jul 9, 2011",0.007
"Jul 10, 2011",0.006
"Jul 11, 2011",0.007
"Jul 12, 2011",0.006
"Jul 13, 2011",0.029
"Jul 14, 2011",0.023
"Jul 15, 2011",0.011
"Jul 16, 2011",0.011
"Jul 17, 2011",0.021
"Jul 18, 2011",0.017
"Jul 19, 2011",0.017
"Jul 20, 2011",0.01
"Jul 21, 2011",0.004
"Jul 22, 2011",0.003
"Jul 23, 2011",0.004
"Jul 24, 2011",0.002
"Jul 25, 2011",0.014
"Jul 26, 2011",0.011
"Jul 27, 2011",0.018
"Jul 28, 2011",0.009
"Jul 29, 2011",0.008
"Jul 30, 2011",0.012
"Jul 31, 2011",0.045
"Aug 1, 2011",0.01
"Aug 2, 2011",0.009
"Aug 3, 2011",0.008
"Aug 4, 2011",0.009
"Aug 5, 2011",0.008
"Aug 6, 2011",0.005
"Aug 7, 2011",0.004
"Aug 8, 2011",0.004
"Aug 9, 2011",0.004
"Aug 10, 2011",0.004
"Aug 11, 2011",0.006
"Aug 12, 2011",0.018
"Aug 13, 2011",0.019
"Aug 14, 2011",0.006
"Aug 15, 2011",0.002
"Aug 16, 2011",0.002
"Aug 17, 2011",0.003
"Aug 18, 2011",0.006
"Aug 19, 2011",0.002
"Aug 20, 2011",0.002
"Aug 21, 2011",0.002
"Aug 22, 2011",0.002
"Aug 23, 2011",0.008
"Aug 24, 2011",0.018
"Aug 25, 2011",0.012
"Aug 26, 2011",0.01
"Aug 27, 2011",0.018
"Aug 28, 2011",0.041
"Aug 29, 2011",0.031
"Aug 30, 2011",0.005
"Aug 31, 2011",0.008
"Sep 1, 2011",0.01
"Sep 2, 2011",0.007
"Sep 3, 2011",0.031
"Sep 4, 2011",0.008
"Sep 5, 2011",0.006
"Sep 6, 2011",0.012
"Sep 7, 2011",0.005
"Sep 8, 2011",0.002
"Sep 9, 2011",0.001
"Sep 10, 2011",0.002
"Sep 11, 2011",0.002
"Sep 12, 2011",0.002
"Sep 13, 2011",0.001
"Sep 14, 2011",0.006
"Sep 15, 2011",0.014
"Sep 16, 2011",0.002
"Sep 17, 2011",0.002
"Sep 18, 2011",0.001
"Sep 19, 2011",0.001
"Sep 20, 2011",0.002
"Sep 21, 2011",0.001
"Sep 22, 2011",0.001
"Sep 23, 2011",0.001
"Sep 24, 2011",0.001
"Sep 25, 2011",0
"Sep 26, 2011",0
"Sep 27, 2011",0
"Sep 28, 2011",0
"Sep 29, 2011",0.001
"Sep 30, 2011",0.007
"Oct 1, 2011",0.005
"Oct 2, 2011",0.001
"Oct 3, 2011",0
"Oct 4, 2011",0
"Oct 5, 2011",0.003
"Oct 6, 2011",0
"Oct 7, 2011",0.001
"Oct 8, 2011",0.002
"Oct 9, 2011",0
"Oct 10, 2011",0
"Oct 11, 2011",0.006
"Oct 12, 2011",0.011
"Oct 13, 2011",0.01
"Oct 14, 2011",0.004
"Oct 15, 2011",0.006
"Oct 16, 2011",0.008
"Oct 17, 2011",0.003
"Oct 18, 2011",0.003
"Oct 19, 2011",0.003
"Oct 20, 2011",0
"Oct 21, 2011",0
"Oct 22, 2011",0
"Oct 23, 2011",0
"Oct 24, 2011",0
"Oct 25, 2011",0
"Oct 26, 2011",0
"Oct 27, 2011",0
"Oct 28, 2011",0
"Oct 29, 2011",0.001
"Oct 30, 2011",0
"Oct 31, 2011",0
"Nov 1, 2011",0
"Nov 2, 2011",0
"Nov 3, 2011",0
"Nov 4, 2011",0
"Nov 5, 2011",0
"Nov 6, 2011",0
"Nov 7, 2011",0
"Nov 8, 2011",0
"Nov 9, 2011",0
"Nov 10, 2011",0
"Nov 11, 2011",0
"Nov 12, 2011",0
"Nov 13, 2011",0
"Nov 14, 2011",0
"Nov 15, 2011",0
"Nov 16, 2011",0
"Nov 17, 2011",0
"Nov 18, 2011",0
"Nov 19, 2011",0
"Nov 20, 2011",0
"Nov 21, 2011",0
"Nov 22, 2011",0
"Nov 23, 2011",0
"Nov 24, 2011",0
"Nov 25, 2011",0
"Nov 26, 2011",0
"Nov 27, 2011",0
"Nov 28, 2011",0.001
"Nov 29, 2011",0
"Nov 30, 2011",0
"Dec 1, 2011",0
"Dec 2, 2011",0
"Dec 3, 2011",0
"Dec 4, 2011",0
"Dec 5, 2011",0
"Dec 6, 2011",0
"Dec 7, 2011",0
"Dec 8, 2011",0
"Dec 9, 2011",0
"Dec 10, 2011",0
"Dec 11, 2011",0
"Dec 12, 2011",0
"Dec 13, 2011",0
"Dec 14, 2011",0
"Dec 15, 2011",0
"Dec 16, 2011",0
"Dec 17, 2011",0
"Dec 18, 2011",0
"Dec 19, 2011",0
"Dec 20, 2011",0
"Dec 21, 2011",0
"Dec 22, 2011",0
"Dec 23, 2011",0
"Dec 24, 2011",0
"Dec 25, 2011",0
"Dec 26, 2011",0
"Dec 27, 2011",0
"Dec 28, 2011",0
"Dec 29, 2011",0
"Dec 30, 2011",0
"Dec 31, 2011",0
"Jan 1, 2012",0
"Jan 2, 2012",0
"Jan 3, 2012",0
"Jan 4, 2012",0
"Jan 5, 2012",0
"Jan 6, 2012",0
"Jan 7, 2012",0
"Jan 8, 2012",0
"Jan 9, 2012",0
"Jan 10, 2012",0
"Jan 11, 2012",0
"Jan 12, 2012",0
"Jan 13, 2012",0
"Jan 14, 2012",0
"Jan 15, 2012",0
"Jan 16, 2012",0
"Jan 17, 2012",0
"Jan 18, 2012",0
"Jan 19, 2012",0
"Jan 20, 2012",0
"Jan 21, 2012",0
"Jan 22, 2012",0
"Jan 23, 2012",0
"Jan 24, 2012",0
"Jan 25, 2012",0
"Jan 26, 2012",0
"Jan 27, 2012",0
"Jan 28, 2012",0
"Jan 29, 2012",0
"Jan 30, 2012",0
"Jan 31, 2012",0
"Feb 1, 2012",0
"Feb 2, 2012",0
"Feb 3, 2012",0
"Feb 4, 2012",0
"Feb 5, 2012",0
"Feb 6, 2012",0
"Feb 7, 2012",0
"Feb 8, 2012",0
"Feb 9, 2012",0
"Feb 10, 2012",0
"Feb 11, 2012",0
"Feb 12, 2012",0
"Feb 13, 2012",0
"Feb 14, 2012",0
"Feb 15, 2012",0
"Feb 16, 2012",0
"Feb 17, 2012",0
"Feb 18, 2012",0
"Feb 19, 2012",0
"Feb 20, 2012",0
"Feb 21, 2012",0
"Feb 22, 2012",0
"Feb 23, 2012",0
"Feb 24, 2012",0
"Feb 25, 2012",0
"Feb 26, 2012",0
"Feb 27, 2012",0
"Feb 28, 2012",0
"Feb 29, 2012",0
"Mar 1, 2012",0
"Mar 2, 2012",0
"Mar 3, 2012",0
"Mar 4, 2012",0
"Mar 5, 2012",0
"Mar 6, 2012",0
"Mar 7, 2012",0
"Mar 8, 2012",0
"Mar 9, 2012",0
"Mar 10, 2012",0
"Mar 11, 2012",0
"Mar 12, 2012",0
"Mar 13, 2012",0
"Mar 14, 2012",0
"Mar 15, 2012",0
"Mar 16, 2012",0
"Mar 17, 2012",0
"Mar 18, 2012",0
"Mar 19, 2012",0
"Mar 20, 2012",0
"Mar 21, 2012",0
"Mar 22, 2012",0
"Mar 23, 2012",0
"Mar 24, 2012",0
"Mar 25, 2012",0
"Mar 26, 2012",0
"Mar 27, 2012",0
"Mar 28, 2012",0
"Mar 29, 2012",0
"Mar 30, 2012",0
"Mar 31, 2012",0
"Apr 1, 2012",0
"Apr 2, 2012",0.001
"Apr 3, 2012",0.002
"Apr 4, 2012",0
"Apr 5, 2012",0
"Apr 6, 2012",0
"Apr 7, 2012",0
"Apr 8, 2012",0
"Apr 9, 2012",0
"Apr 10, 2012",0
"Apr 11, 2012",0
"Apr 12, 2012",0
"Apr 13, 2012",0
"Apr 14, 2012",0
"Apr 15, 2012",0
"Apr 16, 2012",0
"Apr 17, 2012",0
"Apr 18, 2012",0
"Apr 19, 2012",0.003
"Apr 20, 2012",0.002
"Apr 21, 2012",0.002
"Apr 22, 2012",0
"Apr 23, 2012",0
"Apr 24, 2012",0
"Apr 25, 2012",0
"Apr 26, 2012",0
"Apr 27, 2012",0
"Apr 28, 2012",0
"Apr 29, 2012",0
"Apr 30, 2012",0
"May 1, 2012",0
"May 2, 2012",0
"May 3, 2012",0
"May 4, 2012",0
"May 5, 2012",0
"May 6, 2012",0
"May 7, 2012",0
"May 8, 2012",0
"May 9, 2012",0
"May 10, 2012",0.004
"May 11, 2012",0.003
"May 12, 2012",0.003
"May 13, 2012",0
"May 14, 2012",0
"May 15, 2012",0
"May 16, 2012",0
"May 17, 2012",0
"May 18, 2012",0
"May 19, 2012",0
"May 20, 2012",0
"May 21, 2012",0
"May 22, 2012",0
"May 23, 2012",0
"May 24, 2012",0
"May 25, 2012",0
"May 26, 2012",0
"May 27, 2012",0
"May 28, 2012",0
"May 29, 2012",0
"May 30, 2012",0
"May 31, 2012",0
"Jun 1, 2012",0
"Jun 2, 2012",0
"Jun 3, 2012",0
"Jun 4, 2012",0
"Jun 5, 2012",0.003
"Jun 6, 2012",0.002
"Jun 7, 2012",0.003
"Jun 8, 2012",0.003
"Jun 9, 2012",0.002
"Jun 10, 2012",0.002
"Jun 11, 2012",0.001
"Jun 12, 2012",0.004
"Jun 13, 2012",0.004
"Jun 14, 2012",0.001
"Jun 15, 2012",0.001
"Jun 16, 2012",0.005
"Jun 17, 2012",0.011
"Jun 18, 2012",0.003
"Jun 19, 2012",0.003
"Jun 20, 2012",0.002
"Jun 21, 2012",0.002
"Jun 22, 2012",0.001
"Jun 23, 2012",0.002
"Jun 24, 2012",0.003
"Jun 25, 2012",0.002
"Jun 26, 2012",0.003
"Jun 27, 2012",0.003
"Jun 28, 2012",0.002
"Jun 29, 2012",0.004
"Jun 30, 2012",0.005
"Jul 1, 2012",0.013
"Jul 2, 2012",0.02
"Jul 3, 2012",0.003
