,year,Andaman and Nicobar,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttaranchal,West Bengal
0,1992,0.07538736826063308,0.08882482836496051,0.034507529303106764,0.042461962567202735,0.0056770039481091605,0.04596143824908807,0.048565017973241,0.01716732335889539,0.09292479565149103,0.02954191940512538,0.13983318992557653,0.1761770189032885,0.05200097543892568,0.038763003145341104,0.029581000246937283,0.06349511648989938,0.057585388471870426,0.019822251174910432,0.07745554399891093,0.09803114026047212,0.037490030695731,0.028834580599409014,0.020770940005796545,0.02408842649640991,0.029174336751804718,0.055897938464028685,0.1855857070984032,0.08884233202866464,0.02442443786778736,0.08287635679528317,0.04370349139624004,0.03906050027210281,0.05111125079464287,0.03179389263007085
1,1993,0.12605200995320312,0.1261986278513379,0.034858754653193866,0.04685194722891832,0.008437364300438392,0.04531621583210954,0.04083464140696815,0.033725186252483934,0.10155967249609058,0.028913551697614382,0.16680664634961553,0.16152192721666309,0.051303629838991394,0.03881778412251635,0.03253327393419707,0.08628302437092662,0.06872252912428077,0.05644223163184589,0.09013696306001824,0.11725593957474258,0.04967183968191597,0.04788686061392927,0.03765382252740142,0.03763554446748095,0.032696546420554015,0.06110807057637588,0.18566486123623624,0.10239820639528224,0.028589350728900693,0.10026839635671768,0.06469389482669315,0.041002147109622224,0.05591251968513305,0.03550242032102265
2,1994,0.11113271550602892,0.11341095861533645,0.02358738392761,0.04456234039711364,0.0077980717900417,0.0458178975792316,0.056974935171768874,0.0363055769900506,0.10777207202900826,0.029873377563097225,0.18374887302071585,0.17966616678754072,0.05541523019105842,0.042920080423691734,0.03409336520822912,0.10000372860123752,0.07071079107470946,0.031455027686008094,0.11877318608339245,0.1161049961471184,0.039071697291072564,0.04707877510752846,0.03790491484734864,0.026843793941072586,0.036786771422715456,0.07210407763753922,0.2086942818488532,0.1138328799531928,0.024590674067316645,0.10224692547981533,0.04702283693398626,0.04361342475838367,0.058284402236223186,0.035843884240691015
3,1995,0.16260664615416956,0.14636329245355598,0.03000013731032205,0.05108747231584509,0.010668211778866996,0.0456449855511867,0.0807888825132614,0.052842100231492536,0.1230119980060229,0.03019679423462353,0.1967961221628404,0.19890158603081748,0.07554465648554716,0.04736076338596003,0.0389030491994485,0.1188073772683354,0.07919514964664645,0.05161850697191072,0.14864369161530971,0.1408405689936331,0.04770715727963461,0.07073368771126927,0.039990667203788535,0.030238028569089137,0.05353826833561811,0.0839590914080899,0.2252518063976296,0.14134746792257274,0.05113359985718427,0.12965574605080762,0.05967064579847613,0.04884016648401111,0.07452520708303904,0.0415749947289058
4,1996,0.15829481766036665,0.1554228568980869,0.04904002017739048,0.05789846660737812,0.01179178157441213,0.04580794921597423,0.07597243912534951,0.06559467635429968,0.1331338218121974,0.030564796480997882,0.2056659204892547,0.2166522782788622,0.09155563570910594,0.05326047898138686,0.03901533199786323,0.12570432385327465,0.07549082186014089,0.0633753664324601,0.14797113005474327,0.14892678384128874,0.04721151264983135,0.0495171878691788,0.04574437252439378,0.039833672141852766,0.057892345775391325,0.08335490198749472,0.2352584249234897,0.1509200713066587,0.05012308029945445,0.1242587809920935,0.06246439426911386,0.04853965951982917,0.07653417132876977,0.04523013495918402
5,1997,0.12219606338729468,0.134651423218777,0.0345610080601159,0.05016739636531625,0.010126763203325987,0.04578378890520631,0.06435565698101069,0.0677644921845658,0.12783817373549755,0.030396818764135518,0.18378932429235986,0.18666769593012034,0.07596412727205452,0.046557390573367705,0.032486226714126966,0.11420727687108224,0.06478779404731375,0.051005847408992916,0.11399812430145458,0.1339208794235958,0.047633433058796526,0.048151110472956685,0.03690601400283994,0.03159562133371612,0.05070837649176986,0.07575605812077857,0.2236122416127432,0.13301118740314966,0.04637089179579317,0.11529290949329445,0.05856161148986218,0.03614676633011371,0.06409887796228783,0.039264850393774975
6,1998,0.14406394433773625,0.1573684230874351,0.04504392846276759,0.05578636010436083,0.012383259231758491,0.046127718034961386,0.07651921507909237,0.0810548275414672,0.1384013015480637,0.03016739813417262,0.2021583153073782,0.19327697944994252,0.10183948027868184,0.06024008089324295,0.034554046009392346,0.1372316022950179,0.07547161875804513,0.05735734338405224,0.13402981810752554,0.15462504680672945,0.05426297176693032,0.059101301059796975,0.05096855102870382,0.034977220139277086,0.061733084301103976,0.08477042003985727,0.2416294138794691,0.1447355612207467,0.039803333568083965,0.1291351424999754,0.08031958805819511,0.04370858154351938,0.07243935630655943,0.04276782595315325
7,1999,0.12987117065749473,0.16428406066782766,0.055265597910570514,0.05270064555129507,0.010161595279099066,0.04620919986735515,0.06127920793567543,0.08721089039271787,0.15263143518550132,0.03038457783476842,0.21994007726878492,0.1925456212347832,0.13192439998706407,0.0473648801111793,0.035572897212070256,0.14683498469612155,0.0790239082662275,0.04874908876583997,0.1288110840722742,0.1589248409599014,0.0573434381552994,0.0658425374188249,0.06709451096694695,0.03699667728412709,0.054112370738809916,0.08849572059204154,0.2575059641345249,0.14854101633272834,0.05989580347769405,0.14420807065793284,0.0863140076381693,0.03398122191061262,0.0843468541263727,0.04301365149031595
8,2000,0.1401646430063508,0.16765032201111135,0.04692833196143459,0.057844181437317475,0.014218946128554066,0.04616609029323985,0.07557214862848198,0.09106227081213594,0.14975997159265506,0.031028343499658474,0.2305623069565903,0.2104795376298219,0.1524381894245289,0.05688784377508758,0.03983382327718203,0.1583455679084431,0.08502433136310203,0.052262187272191465,0.13669247123331552,0.16389471695462698,0.05816568691910566,0.059699907883308076,0.054109711394214034,0.0433987430894687,0.07111215100869417,0.08983751791934473,0.2528697880550639,0.15975043311344944,0.06264729919404105,0.1475856386603856,0.07981685487178942,0.043988796968251316,0.09793356170929814,0.04853532602696774
9,2001,0.15771938168221747,0.17525163548686715,0.04504718054934247,0.0550864691617934,0.012418437130677692,0.046290207968165235,0.06799583232825207,0.09892892017945792,0.1419206369800807,0.031239626110194218,0.2480235440113264,0.21504235140363895,0.14072491019872674,0.056402477795769984,0.03776289680404475,0.16492111495914324,0.08500017407020839,0.05178912102740682,0.11729408351122796,0.16955490182976213,0.05714035613272692,0.0616389760452784,0.05959455198021156,0.04464741506452861,0.061695132433554026,0.096078938870294,0.26202461650432984,0.16333370956364768,0.06540125160299193,0.15711985649305313,0.08742658040451104,0.04800100159979608,0.1005052699247652,0.04794485939722567
10,2002,0.17033955977833892,0.1829152858219782,0.042179201533250416,0.05419866308508455,0.015086337822412359,0.04623383390970677,0.09646587981036593,0.10344951209019332,0.14493891737969555,0.031292878620433555,0.2583211351038193,0.22819681957592824,0.15812038338129436,0.06201341123101334,0.04465040368758051,0.16314021683207466,0.08693854986375077,0.05467404960215905,0.11632931580403046,0.16608076330028138,0.0589927987581651,0.055589036192456136,0.0569569433634158,0.04987258036635799,0.0662691305822748,0.10065723629014876,0.2637322877297605,0.16353962964903196,0.0790612813781063,0.15829994665061053,0.08982606302755343,0.04300895008281797,0.10930007776891648,0.051523473583423234
11,2003,0.132718133590484,0.1409994968478476,0.0376353139022365,0.039295893785136336,0.0093930465647408,0.045939646596238566,0.06330219088534761,0.08728515238218805,0.10965337576225237,0.030340230526185438,0.2320223236170293,0.1822924058580921,0.12963140470489035,0.05107877765379597,0.033551397602544,0.13344186705565894,0.06708106052970447,0.0419012609929738,0.07434165942771903,0.13198636738515726,0.04014721501406402,0.0390235361012832,0.042610503405923775,0.03156706437496652,0.04495949049105595,0.08973775454684592,0.2199224368747553,0.13507923601525734,0.04900774185729237,0.13622835201948022,0.07262153717680611,0.031485312511302786,0.09557977302263307,0.038142848213905685
12,2004,0.11543140619211155,0.1206090362589126,0.038979148343567784,0.0439146196179811,0.00890748204899292,0.04605476337107395,0.08427934283382732,0.11239680144221906,0.11596991279764544,0.030702544165481637,0.2643665433702765,0.1943070975551627,0.10742531030932308,0.05987858350740422,0.037501818077979185,0.11988137974024415,0.05873006099102794,0.018558156127371148,0.0657963851888357,0.10811800324545642,0.02886468590369555,0.055748799500082415,0.03527095185407298,0.03348998383625591,0.04784687000370394,0.0934322045782173,0.2500227441989857,0.1416411726499322,0.07040635333463266,0.1100661524112635,0.0774145142636592,0.026489047040392767,0.09904204637343436,0.04214406474245755
13,2005,0.17153641406165834,0.16526522332609928,0.05313331314630704,0.052021279786663766,0.011501088401502824,0.04595291108058175,0.10189803578739144,0.10942034676081153,0.11932877404552004,0.03072532837707733,0.25442170107881484,0.20832198947737213,0.17929007391834226,0.0656237792483137,0.04114194516125101,0.15574219239821355,0.08217671936838049,0.05167279326229585,0.09296403205598637,0.13318406081217854,0.045615645874750525,0.06534959683358561,0.05542168015851171,0.04855820211452908,0.06495961247069303,0.0954631304223797,0.25235716048299595,0.16042740697355362,0.0907092799106419,0.14163271169998265,0.0910984107697588,0.0352022050529902,0.1156455216644531,0.04883948007646907
14,2006,0.14626189956934266,0.1524825611379758,0.048410199410721916,0.046225360493265685,0.012015048840026554,0.046169880145909316,0.08922849218080048,0.10160832690298482,0.11331611365669453,0.03071016868596333,0.23965013078101804,0.19460023646762464,0.16598464120716686,0.06356003636413438,0.039271302826646697,0.14366600100168106,0.07454057513694895,0.041699626200114775,0.07653949796968224,0.1128129499109018,0.03826792821322834,0.059667887811104485,0.044910436144169834,0.04293450297245088,0.05675767308499534,0.09020131367126807,0.24050797348177785,0.14638078472890634,0.09767072785250673,0.1310254836546979,0.07386394412285308,0.0331784261513657,0.1079536959667636,0.04551055333588639
15,2007,0.13746482351982892,0.16561723593530006,0.0528850705377578,0.05218647462235595,0.012868127298114884,0.04623383390970676,0.09198200381926967,0.11116336954814568,0.12008505131759548,0.030675947693645095,0.2414526120208838,0.1989527467883312,0.18838630411493634,0.06878416066738882,0.04096357799443885,0.15395973113937067,0.07615474329643354,0.03468118437175252,0.07155011450386042,0.1149056964814198,0.04020226502592991,0.07569713595621541,0.04799736785981848,0.036795514990634326,0.057733164731427165,0.09720037533464802,0.26009285544515226,0.1553548770192966,0.09649642878785147,0.1386458181300048,0.07316278511463377,0.03841792484679412,0.1151860862247494,0.04617146555810357
16,2008,0.21859209997346168,0.2248963378522758,0.07524388842596842,0.06884455521667025,0.01614949903866929,0.046387796674404284,0.13619428590845134,0.14357659398665673,0.14806304245395754,0.031672913313193087,0.29628636757864857,0.25964041048204634,0.2687599368470306,0.10297796565624023,0.05236519289026775,0.2041446823640124,0.10167367532496573,0.053758937849952684,0.11872546954389805,0.16270283891251214,0.05823240831157917,0.09878225980142837,0.08233914141920479,0.0694823659516139,0.08356012532359447,0.11589138372999624,0.3306499023297053,0.2127686879279246,0.15615065749283055,0.1823109142538508,0.11388417321349395,0.05464743041071722,0.17499136451730726,0.06185517426985144
17,2009,0.1857738562881489,0.21872105762282126,0.07031806129388239,0.0691446297930857,0.016934018058039346,0.04632052678952106,0.14421395363621767,0.1482866820084539,0.15300018437459453,0.031452993550549174,0.28211676705209643,0.2546719001846915,0.2306371148684221,0.08412238592024543,0.052233327292777465,0.1941628665787483,0.0908251349957123,0.05003644936640144,0.10582278232821712,0.15998419318760276,0.05436723610035831,0.09223567177605904,0.06481098353454137,0.060060591295838975,0.07550863543166819,0.11598353463632045,0.3066607197735182,0.20339031216714687,0.15679103536490893,0.1717860596617768,0.10280880052543376,0.04859308464836013,0.17410659933303538,0.059147324576643075
18,2010,0.18201644328014274,0.21499035176751805,0.06420992002035084,0.06178738697212319,0.013753050304241756,0.04642664266426642,0.13734127251626704,0.14514719238464638,0.14776258015173346,0.0318521491110792,0.2864800194714596,0.2905218247373662,0.20531678311430146,0.08125306920206941,0.05017579957690242,0.18121645271648326,0.08861140497827624,0.05298341941587952,0.0654486003921775,0.13868024471388854,0.04319422344469128,0.08331521671353394,0.05672590197282916,0.05453267168797403,0.07478045035215546,0.11929615939061808,0.3179072395686489,0.21136675953676376,0.12853088144492833,0.17631816583440788,0.10057086210711892,0.040670691106111406,0.14747044801003184,0.05270348108045572
19,2011,0.30886985950428425,0.3263399909414405,0.12584201941567955,0.10570447409783433,0.029121142731856068,0.04662939978208347,0.20517832744925288,0.18706680506142406,0.1840741322443851,0.032329277306847815,0.3648300189572485,0.3557782584688804,0.3235026590033916,0.13122114623977504,0.07704470340759499,0.28157098573397554,0.1334810470471212,0.08555519364695299,0.12027650836208433,0.20839094101675326,0.07475869420593761,0.16115398992008126,0.08748311620607252,0.10463067512693948,0.10769834693052896,0.14168161781733768,0.3952140870720027,0.31812995240139463,0.266239966457957,0.2558860011285288,0.17461091254919478,0.07192280981283332,0.2469137320236217,0.07352776791606436
20,2012,0.2223311200506594,0.26503444157293565,0.10513851359408324,0.08669841569340044,0.019449670109694717,0.04662939978208347,0.19062267593306573,0.18510697140828047,0.17112352414965756,0.03219096373998455,0.3440531488572516,0.3113939543210565,0.27408930627005035,0.11066988330999708,0.06630441721862776,0.23884553667035946,0.10757389205509743,0.07902532843205683,0.10957138430796264,0.1989610741449296,0.06822194297363435,0.0966618569147683,0.06422312674192449,0.08492839532130875,0.09935765570766188,0.1280304626856941,0.331743065668594,0.2533467830929537,0.2099505877227606,0.20322882314074467,0.1621928312479569,0.057249236672523636,0.20828913142708927,0.06884746354509062
21,2013,0.2346359907614936,0.2944081253829106,0.10521945441550247,0.09561390566865358,0.020338771812170538,0.046387796674404284,0.2133972889934148,0.17889969339187795,0.176967174493482,0.03233958232281135,0.3507543476546833,0.3555100688078661,0.3119535553554307,0.14336662690698124,0.067891684931315,0.2614772623169341,0.11939258567479714,0.0700138042281265,0.11871110845583205,0.2198397653670612,0.0679826796711783,0.12103620998291476,0.06569595864404679,0.0672058961780175,0.1110981243033968,0.12982620339067258,0.3762698634173004,0.2999320757670959,0.20566775361666093,0.20637525896769413,0.17459621434017153,0.060491398777015475,0.2311379642786467,0.07541737507123304
